year,drug_name,drug_type,January_purchase,February_purchase,March_purchase,April_purchase,May_purchase,June_purchase,July_purchase,August_purchase,September_purchase,October_purchase,November_purchase,December_purchase,total_Quantity,price,total_price
2020,Cefuroxime,Antibiotic,85,95,110,75,80,90,105,100,85,95,115,100,1105,25,27625
2020,Ranitidine,Acid reducer,45,55,60,40,45,50,55,50,45,55,65,60,575,12,6900
2020,Omeprazole,Proton pump inhibitor,70,80,90,65,70,75,85,80,70,80,90,85,900,15,13500
2020,Dexamethasone,Steroid,55,65,75,50,55,60,70,65,55,65,75,70,745,18,13410
2020,Furosemide,Diuretic,30,40,45,25,30,35,40,35,30,40,45,40,435,20,8700
2020,Ibuprofen,Pain reliever,95,105,115,90,95,100,110,105,95,105,115,110,1140,8,9120
2020,Atorvastatin,Statins,40,50,55,35,40,45,50,45,40,50,55,50,555,30,16650
2020,Loratadine,Antihistamine,25,35,40,20,25,30,35,30,25,35,40,35,355,10,3550
2020,Ciprofloxacin,Antibiotic,80,90,100,75,80,85,95,90,80,90,100,95,1010,22,22220
2020,Simvastatin,Statins,60,70,80,55,60,65,75,70,60,70,80,75,795,28,22260
2020,Aspirin,Blood thinner,50,60,65,45,50,55,60,55,50,60,65,60,675,18,12150
2020,Amlodipine,Calcium channel blocker,35,45,50,30,35,40,45,40,35,45,50,45,485,20,9700
2020,Metoprolol,Beta blocker,75,85,95,70,75,80,90,85,75,85,95,90,945,15,14175
2020,Lisinopril,ACE inhibitor,65,75,85,60,65,70,80,75,65,75,85,80,850,12,10200
2020,Prednisone,Steroid,20,30,35,15,20,25,30,25,20,30,35,30,305,18,5490
2020,Amoxicillin,Antibiotic,90,100,110,85,90,95,105,100,90,100,110,105,1125,20,22500
2020,Fluoxetine,SSRI antidepressant,15,25,30,10,15,20,25,20,15,25,30,25,250,10,2500
2020,Lansoprazole,Proton pump inhibitor,100,110,120,95,100,105,115,110,100,110,120,115,1215,15,18225
2020,Prednisolone,Steroid,10,20,25,5,10,15,20,15,10,20,25,20,205,20,4100
2020,Warfarin,Blood thinner,85,95,105,80,85,90,100,95,85,95,105,100,1050,10,10500
2020,Hydrochlorothiazide,Diuretic,30,40,45,25,30,35,40,35,30,40,45,40,435,25,10875
2020,Fluconazole,Antifungal,65,75,85,60,65,70,80,75,65,75,85,80,845,15,12675
2020,Bupropion,Atypical antidepressant,50,60,70,45,50,55,60,55,50,60,70,65,675,12,8100
2020,Cephalexin,Antibiotic,20,30,35,15,20,25,30,25,20,30,35,30,305,22,6710
2020,Tramadol,Analgesic,90,100,110,85,90,95,105,100,90,100,110,105,1125,8,9000
2020,Clarithromycin,Antibiotic,15,25,30,10,15,20,25,20,15,25,30,25,250,20,5000
2020,Fluticasone,Corticosteroid,100,110,120,95,100,105,115,110,100,110,120,115,1215,18,21870
2020,Valsartan,ARB,10,20,25,5,10,15,20,15,10,20,25,20,205,30,6150
2020,Sertraline,SSRI antidepressant,85,95,105,80,85,90,100,95,85,95,105,100,1050,12,12600
2020,Levothyroxine,Thyroid hormone,30,40,45,25,30,35,40,35,30,40,45,40,435,15,6525
2020,Diazepam,Benzodiazepine,65,75,85,60,65,70,80,75,65,75,85,80,845,10,8450
2020,Paroxetine,SSRI antidepressant,20,30,35,15,20,25,30,25,20,30,35,30,305,12,3660
2020,Losartan,ARB,90,100,110,85,90,95,105,100,90,100,110,105,1125,8,9000
2020,Ondansetron,Antiemetic,15,25,30,10,15,20,25,20,15,25,30,25,250,20,5000
2020,Propranolol,Beta blocker,100,110,120,95,100,105,115,110,100,110,120,115,1215,15,18225
2020,Metformin,Diabetes medication,10,20,25,5,10,15,20,15,10,20,25,20,205,25,5125
2020,Codeine,Analgesic,85,95,105,80,85,90,100,95,85,95,105,100,1050,8,8400
2020,Levofloxacin,Antibiotic,30,40,45,25,30,35,40,35,30,40,45,40,435,20,8700
2020,Albuterol,Short-acting β2-adrenergic agonist,65,75,85,60,65,70,80,75,65,75,85,80,845,15,12675
2020,Citalopram,SSRI antidepressant,20,30,35,15,20,25,30,25,20,30,35,30,305,12,3660
2020,Lisinopril,ARB,90,100,110,85,90,95,105,100,90,100,110,105,1125,8,9000
2020,Methylprednisolone,Steroid,15,25,30,10,15,20,25,20,15,25,30,25,250,18,4500
2020,Cetirizine,Antihistamine,100,110,120,95,100,105,115,110,100,110,120,115,1215,10,12150
2020,Aripiprazole,Atypical antipsychotic,10,20,25,5,10,15,20,15,10,20,25,20,205,25,5125
2020,Clonazepam,Benzodiazepine,85,95,105,80,85,90,100,95,85,95,105,100,1050,12,12600
2020,Metronidazole,Antibiotic,30,40,45,25,30,35,40,35,30,40,45,40,435,22,9570
