Here's a mock dataset for "Kalpartu Drug Store" for the year 2023, with 100 unique drug names and their expired quantities for each month:

```plaintext
drug_name,drug_type,year,January_expired,February_expired,March_expired,April_expired,May_expired,June_expired,July_expired,August_expired,September_expired,October_expired,November_expired,December_expired
Amoxicillin,Antibiotic,2023,2,1,1,2,2,1,1,1,2,3,4,5
Lisinopril,Antihypertensive,2023,1,2,2,1,1,2,2,0,1,2,3,4
Metformin,Antidiabetic,2023,0,3,1,0,2,1,1,2,0,1,2,3
Amlodipine,Antihypertensive,2023,3,0,3,1,0,2,1,1,0,1,2,2
Albuterol,Bronchodilator,2023,1,1,0,3,1,0,2,2,1,0,1,1
Gabapentin,Anticonvulsant,2023,2,2,1,0,3,1,0,2,2,1,0,0
Hydrochlorothiazide,Diuretic,2023,0,0,2,2,0,3,1,0,3,2,1,1
Simvastatin,Antilipemic,2023,1,1,0,0,2,2,0,3,1,0,3,3
Cetirizine,Antihistamine,2023,2,2,1,1,0,0,2,2,0,3,1,0
Warfarin,Anticoagulant,2023,0,0,2,2,1,1,0,0,2,2,0,3
Insulin Glargine,Antidiabetic,2023,1,1,0,0,2,2,1,0,3,0,2,2
Salbutamol,Bronchodilator,2023,2,2,1,1,0,0,2,2,1,0,3,0
Ramipril,Antihypertensive,2023,0,0,2,2,1,1,0,0,2,2,1,3
Clopidogrel,Antiplatelet,2023,1,1,0,0,2,2,1,1,0,0,2,2
Sertraline,Antidepressant,2023,2,2,1,1,0,0,2,2,1,1,0,0
Loratadine,Antihistamine,2023,0,0,2,2,1,1,0,0,2,2,1,2
Omeprazole,Proton Pump Inhibitor,2023,1,1,0,0,2,2,1,1,0,0,2,2
Ciprofloxacin,Fluoroquinolone,2023,2,2,1,1,0,0,2,2,1,1,0,1
Escitalopram,Antidepressant,2023,0,0,2,2,1,1,0,0,2,2,1,2
Losartan,Antihypertensive,2023,1,1,0,0,2,2,1,1,0,0,2,2
Prednisone,Corticosteroid,2023,2,2,1,1,0,0,2,2,1,1,0,2
Montelukast,Leukotriene Receptor Antagonist,2023,0,0,2,2,1,1,0,0,2,2,1,2
Fluoxetine,Selective Serotonin Reuptake Inhibitor,2023,1,1,0,0,2,2,1,1,0,0,2,2
Tramadol,Analgesic,2023,2,2,1,1,0,0,2,2,1,1,0,2
Alprazolam,Benzodiazepine,2023,0,0,2,2,1,1,0,0,2,2,1,2
Hydroxyzine,Antihistamine,2023,1,1,0,0,2,2,1,1,0,0,2,2
Ranitidine,H2 Blocker,2023,2,2,1,1,0,0,2,2,1,1,0,2
Diazepam,Benzodiazepine,2023,0,0,2,2,1,1,0,0,2,2,1,2
Enalapril,Antihypertensive,2023,1,1,0,0,2,2,1,1,0,0,2,2
Paroxetine,Selective Serotonin Reuptake Inhibitor,2023,2,2,1,1,0,0,2,2,1,1,0,2
Tamsulosin,Alpha Blocker,2023,0,0,2,2,1,1,0,0,2,2,1,2
Duloxetine,Antidepressant,2023,1,1,0,0,2,2,1,1,0,0,2,2
Venlafaxine,Antidepressant,2023,2,2,1,1,0,0,2,2,1,1,0,2
Lisinopril,Antihypertensive,2023,0,0,2,2,1,1,0,0,2,2,1,2
Clonazepam,Benzodiazepine,2023,1,1,0,0,2,2,1,1,0,0,2,2
Oxycodone,Opioid Analgesic,2023,2,2,1,1,0,0,2,2,1,1,0,2
Topiramate,Anticonvulsant,2023,0,0,2,2,1,1,0,0,2,2,1,2
Glimepiride,Antidiabetic,2023,1,1,0,0,2,2,1,1,0,0,2,2
Bupropion,Antidepressant,2023,2,2,1,1,0,0,2,2,1,1,0,2
Naproxen,Nonsteroidal Anti-inflammatory,2023,0,0,2,2,1,1,0,0,2,2,1,2
Pantoprazole,Proton Pump Inhibitor,2023,1,1,0,0,2,2,1,1,0,0,2,2
Risperidone,Antipsychotic,2023,2,2,1,1,0,0,2,2,1,1,0,2
Carvedilol,Beta Blocker,2023,0,0,2,2,1,1,0,0,2,2,1,2
Valacyclovir,Antiviral,2023,1,1,0,0,2,2,1,1,0,0,2,2
Aripiprazole,Antipsychotic,2023,2,2,1,1,0,0,2,2,1,1,0,2
Celecoxib,Nonsteroidal Anti-inflammatory,2023,0,0,2,2,1,1,0,0,2,2,1,2
Lamotrigine,Anticonvulsant,2023,1,1,0,0,2,2,1,1,0,0,2,2
Sildenafil,Erectile Dysfunction Agent,2023,2,2,1,1,0,0,2,2,1,1,0,2
Finasteride,5-alpha Reductase Inhibitor,2023,0,0,2,2,1,1,0,0,2,2,1,2
Zolpidem,Insomnia Treatment,2023,1,1,0,0,2,2,1,1,0,0,2,2
Quetiapine,Antipsychotic,2023,2,2,1,1,0,0,2,2,1,1,0,2
Furosemide,Diuretic,2023,0,0,2,2,1,1,0,0,2,2,1,2
Amphetamine,Stimulant,2023,1,1,0,0,2,2
.
